#table generated by xedstrtsv.py		
key	messages.properties	messages_ja.properties
gemx.MainWindow.S_TOOLTIP_RAD	How spread its code fragments in file directory	コード断片がディレクトリ内でどれだけ広がっているか
gemx.MainWindow.S_TOOLTIP_RNR	Ratio of non-repeated tokens in a code fragment \nof the code clone	そのクローンセットのコード断片の非繰り返しトークンの割合
gemx.MainWindow.S_TOOLTIP_RSA	Ratio of tokens that are covered by \nany clone sets between the file and another files	他のファイルとの間のクローンセットによって被覆されるトークンの割合
gemx.MainWindow.S_TOOLTIP_RSI	Ratio of tokens that are covered by \nany clone sets enclosed within the file	そのファイル内で閉じたクローンセットによって被覆されるトークンの割合
gemx.MainWindow.S_TOOLTIP_TKS	Size of a set of tokens in a code fragment \n of the clone set	そのコードクローンのコード断片のトークンの種類数
gemx.MainWindow.S_TOOMANYCLONES	The detected clones are too many.\nPart of them will be shown.	検出されたクローン数が多すぎます。\n一部だけを表示します。
gemx.MainWindow.S_USERID	UserID: 	ユーザーID:\ 
gemx.MainWindow.SB_CALCULATING_BOTH_FILE_AND_CLONESET_METRICS	> calculating both file and clone-set metrics	> ファイルメトリクスおよびクローンセットメトリクスを計算しています…
gemx.MainWindow.SB_CALCULATING_CLONE_SET_METRICS	> Calculating clone-set metrics...	>\ クローンセットメトリクスを計算しています...
gemx.MainWindow.SB_CALCULATING_CLONE_SETS	> Calculating clone sets...	>\ クローンセットを計算しています...
gemx.MainWindow.SB_CALCULATING_FILE_METRICS	> Calculating file metrics...	>\ ファイルメトリクスを計算しています...
gemx.MainWindow.SB_CALCULATING_LINE_BASED_METRICS	> calculating line-based metrics...	> 行ベースのメトリクスを計算しています…
gemx.MainWindow.SB_CALCULATING_NEW_SCOPE	> Calculating new scope...	>\ 新しいスコープを計算しています...
gemx.MainWindow.SB_DETECTING_CLONES	> detecting clones...	>\ クローンを検出しています...
gemx.MainWindow.SB_INITIALIZED	Initialized.	初期化されました。
gemx.MainWindow.SB_PRESCREENING	> prescreening...	> 事前審査中…
gemx.MainWindow.SB_READING_CLONE_DATA_FILE	> Reading clone data file...	>\ クローンデータファイルを読み込んでいます...
gemx.MainWindow.SB_READING_TOKEN_SEQUENCE	> Reading Token Sequence...	> トークン列を読み込みんでいます...
gemx.MainWindow.SB_READY	Ready.	待機中。
gemx.MainWindow.SB_RECOVERING_SELECTIONS	> Recovering selections...	> 選択状態を回復しています...
gemx.MainWindow.SB_REPAINTING_SCATTER_PLOT	> Repainting scatter plot...	> 散布図を塗り直しています...
gemx.MainWindow.SB_RESIZING_SCATTER_PLOT_PANE	> Resizing scatter-plot pane...	> 散布図のサイズを変更しています...
gemx.MainWindow.SB_RETRIVING_FILE_DATA	> retriving file data...	> ファイルデータを抽出しています...
gemx.MainWindow.SB_SEARCHING_SOURCE_FILES	> searching source files...	> ソースファイルを探しています...
gemx.MainWindow.SB_UPDATING_CLONE_SET_TABLE	> Updating Clone-Set Table...	> クローンセットテーブルを更新しています...
gemx.MainWindow.SB_UPDATING_FILE_TABLE	> Updating File Table...	> ファイルテーブルを更新しています...
gemx.MainWindow.SB_UPDATING_SCATTER_PLOT_PANE	> Updating Scatter Plot Pane...	> 散布図を更新しています...
gemx.MainWindow.SB_UPDATING_SOURCE_PANE	> Updating Source Pane...	> ソーステキストを更新しています...
gemx.MainWindow.SB_WAITING	> Waiting.	> 待機中。
gemx.MainWindow.SB_WRITING_CLONE_DATA_FILE	> Writing clone data to file...	> クローンデータを書き出しています...
gemx.MainWindow.SB_WRITING_FILE_LIST	> Writing file list...	> ファイルリストを書き出しています...
gemx.MinMaxAveShowingDialog.S_AVE	Ave.	平均値
gemx.MinMaxAveShowingDialog.S_COPY_TO_CLIPBOARD	&Copy to Clipboard	クリップボードにコピー(&C)
gemx.MinMaxAveShowingDialog.S_NAME_MIN_MAX	Name\tMin\tMax	Name\tMin\tMax
gemx.MultipleSourceTextPane.S_SOURCETEXT_INDEPENDENT_MODE	* Source Text Independent Mode *	* ソーステキスト独立モード *
gemx.ParentDirectorySelectDialog.S_CANCEL	&Cancel	キャンセル(&C)
gemx.ParentDirectorySelectDialog.S_OK	&OK	&OK
gemx.ParentDirectorySelectDialog.S_PARENT_DIRECTORY_SELECTION_GEMX	Parent Directory Selection - GemX	親ディレクトリの指定 - GemX
gemx.PreprocessScriptAndDirectoriesDialog.S_ADD_DIRECTORY	Add Directory	ディレクトリを追加
gemx.PreprocessScriptAndDirectoriesDialog.S_DROPPED_ITEM_IS_NOT_DIRECTORY	Dropped item is not a directory	ドロップされたアイテムはディレクトリではありません
gemx.PreprocessScriptAndDirectoriesDialog.S_GEMX_SELECT_TARGET_DIRECTORY	Select Target Directory - GemX	対象ディレクトリの選択 - GemX
gemx.PreprocessScriptAndDirectoriesDialog.S_NO_DIRECTORIES_ARE_SELECTED	No directories are selected.	ディレクトリが選択されていません
gemx.PreprocessScriptAndDirectoriesDialog.S_PREPROCESS_SCRIPT	Preprocess Script	プリプロセススクリプト
gemx.PreprocessScriptAndDirectoriesDialog.S_REMOVE	Remove	除去
gemx.PreprocessScriptAndDirectoriesDialog.S_TARGET_DIRECTORY_LIST	Target Directory List	対象ディレクトリリスト
gemx.ScatterPlotPane.M_FIT_SCOPE_TO_FILES_EXCEPT_FOR_SELECTED_ONES	Fit Scope to Files &Except for Selected Ones	選択中のファイル以外をスコープに(&E)
gemx.ScatterPlotPane.M_FIT_SCOPE_TO_SELECTED_FILES	Fit Scope to &Selected Files	選択中のファイルをスコープに(&S)
gemx.ScatterPlotPane.M_POP_SCOPE	&Pop Scope	スコープをポップする(&P)
gemx.ScatterPlotPane.M_RESIZE_DRAWING_AREA	Resize &Drawing Area to Window	描画エリアをウィンドウサイズに合わせる(&D)
gemx.ScatterPlotPane.S_COLORING_METRICS	Metric for Coloring:	着色に利用されるメトリクス:
gemx.ScatterPlotPane.S_DIAGONALIZE_FILL	Diagonalize Fill	対角化フィル
gemx.ScatterPlotPane.S_DIRECTORY_BOX	Directory Box	ディレクトリ囲い
gemx.ScatterPlotPane.S_FILE_BOUNDARY	File Boundary	ファイル境界
gemx.ScatterPlotPane.S_FILE_GAP	File ID Discontinuity	ファイルIDの不連続部分
gemx.ScatterPlotPane.S_RESIZE_DRAWING_AREA_2	Resize Drawing Area to Window x &2	描画エリアをウィンドウの２倍のサイズに(&2)
gemx.SourcePane.M_FIT_SCOOPE_TO_INCLUDED_CLONES	&Fit Scope to included clones	含まれるクローンをスコープに(&F)
gemx.SourcePane.M_POP_SCOPE	&Pop Scope	スコープをポップする(&P)
gemx.SourceTextPane.M_COPY_FILE_PATH	Copy &File Path	ファイルのパスをコピー(&F)
gemx.SourceTextPane.M_COPY_TEXT	Copy &Text	テキストをコピー(&T)
gemx.SourceTextPane.M_COPY_TO_SCRAPBOOK	Copy to &Scrapbook	スクラップブックにコピー(&S)
gemx.SourceTextPane.M_ENTER_SOURCETEXT_INDEPENDENT_MODE	Enter Source Text &Independent Mode	ソーステキスト独立モードに入る(&I)
gemx.SourceTextPane.M_EXIT_SOURCETEXT_INDEPENDENT_MODE	Exit Source Text I&ndependent Mode	ソーステキスト独立モードから出る(&N)
gemx.SourceTextPane.M_SELECT_ALL_CLONE_SETS_AROUND	Select &All Clone Sets Around	そこにあるすべてのクローンセットを選択(&A)
gemx.SourceTextPane.M_SELECT_CLONE_SET	Select Clone Set: 	クローンセットの選択: 
gemx.SourceTextPane.M_SELECT_ONE_CLONE_SET	Select &One Clone Set	単一のクローンセットを選択(&O)
gemx.TableWithCheckHelper.M_ADD_CHECK_MARKS_TO_SELECTED_ITEMS	&Add Check Marks to Selected Items	選択中のアイテムにチェックマークをつける(&A)
gemx.TableWithCheckHelper.M_CLEAR_CHECK_MARKS	&Clear Check Marks	チェックマークをクリア(&C)
gemx.TableWithCheckHelper.M_INVERT_CHECK_MARKS	&Invert Check Marks	チェックマークを反転(&I)
gemx.TableWithCheckHelper.M_REMOVE_CHECK_MARKS_FROM_SELECTED_ITEMS	&Remove Check Marks from Selected Items	選択中のアイテムからチェックマークを除去(&R)
gemx.TableWithCheckHelper.M_SELECT_CHECKED_ITEMS	&Select Checked Items	チェックマークがついたアイテムを選択状態に(&S)
gemx.TotalMinMaxAveShowingDialog.S_TOTAL	Total	計
gemxCcfxOptionsPanel.S_PRESCREENING_APPLICATION	Prescreening Application	事前審査適用
gemxCcfxOptionsPanel.S_USE_PRESCREENING	Use Prescreening	事前審査を利用する
Main.1	error: command P requires an argument	error: コマンドPには引数が必要です
Main.2	error: invalid command line	error: 不正なコマンドライン
Main.3	error: invalid command line	error: 不正なコマンドライン
